timestep,reward
49,-0.042
4402,0.018
9363,0.02
13833,0.028
18734,0.018
23520,0.012
28554,0.096
33125,0.016
37879,0.052
43019,0.136
47438,0.078
52065,0.028
57055,0.078
61698,0.052
66130,0.116
70762,0.108
75564,0.088
80130,0.104
84580,0.012
89524,0.044
93783,0.052
98666,0.036
103113,0.058
107162,0.118
111742,0.072
116459,0.106
120649,0.03
124930,0.056
129421,0.108
134819,0.104
139989,0.098
144983,0.112
150380,0.054
154746,0.09
159369,0.082
163729,0.124
168696,0.134
173258,0.076
177579,0.128
182643,0.088
186933,0.1
191434,0.13
196271,0.132
201033,0.098
205843,0.19
210107,0.146
214215,0.104
219227,0.148
223403,0.152
228007,0.088
232906,0.1
237683,0.114
242606,0.104
247724,0.098
251849,0.094
255935,0.048
260609,0.12
265347,0.138
270375,0.15
274924,0.17
279368,0.124
283913,0.182
288350,0.162
292839,0.136
296909,0.164
301747,0.128
306229,0.118
311260,0.146
316286,0.128
320815,0.15
325208,0.112
329972,0.082
334448,0.08
338844,0.136
343346,0.148
347655,0.144
352182,0.168
357248,0.17
361616,0.132
366248,0.088
370406,0.11
374825,0.128
380028,0.134
385022,0.08
388947,0.098
394236,0.152
399075,0.108
403867,0.154
408258,0.1
413072,0.126
418049,0.15
422252,0.122
427140,0.13
431304,0.132
436237,0.084
440601,0.156
445430,0.09
450455,0.114
454788,0.044
459185,0.108
464342,0.066
468761,0.116
472856,0.114
477600,0.14
482538,0.12
486927,0.148
491869,0.088
496339,0.092
501022,0.06
505289,0.098
509938,0.108
514389,0.13
519087,0.16
523435,0.16
527877,0.1
533042,0.108
537764,0.062
542664,0.134
548230,0.122
553132,0.11
557622,0.066
561563,0.096
565977,0.128
570161,0.11
575454,0.144
579810,0.052
585097,0.07
589792,0.154
594211,0.114
598957,0.154
604012,0.174
608333,0.056
612758,0.132
617314,0.11
621315,0.11
626140,0.078
630256,0.136
634991,0.11
640120,0.066
645281,0.102
649694,0.108
654226,0.036
658750,0.09
663619,0.092
667981,0.064
672492,0.124
676799,0.062
681369,0.07
686476,0.06
690930,0.11
695612,0.08
700154,0.032
704703,0.152
710223,0.056
714875,0.114
719099,0.1
723721,0.08
728070,0.086
732219,0.046
736712,0.108
741419,0.14
745527,0.06
750279,0.108
754875,0.058
759421,0.072
763921,0.112
768751,0.098
773446,0.1
778198,0.098
782818,0.126
787615,0.1
792060,0.12
796517,0.186
800102,0.072
804857,0.1
808419,0.102
813106,0.12
817584,0.084
822050,0.104
826777,0.126
830902,0.11
835898,0.038
840635,0.122
845155,0.072
849980,0.096
854078,0.08
858509,0.112
862986,0.078
867395,0.108
872137,0.116
876906,0.068
881328,0.136
886470,0.1
890672,0.098
894980,0.09
900048,0.076
905079,0.13
909630,0.052
914412,0.054
919052,0.118
923959,0.072
928043,0.088
932807,0.116
937182,0.122
942349,0.134
947000,0.094
952204,0.098
957161,0.122
961225,0.052
965861,0.05
970592,0.072
975243,0.064
979622,0.088
984356,0.102
988471,0.09
993221,0.096
997574,0.08
1002180,0.082
1006643,0.088
1010797,0.07
1015595,0.09
1019906,0.024
1024137,0.122
1028626,0.072
1033404,0.056
1038448,0.062
1042656,0.082
1047039,0.074
1051805,0.14
1056030,0.072
1060307,0.09
1064734,0.09
1069091,0.068
1073462,-0.004
1078397,0.066
1083379,0.088
1088473,0.032
1093504,0.066
1097640,0.054
1102573,0.092
1107121,0.04
1111825,0.092
1116482,-0.028
1121076,0.09
1125324,0.076
1129257,0.074
1133405,0.058
