episodes,reward
0,-2.29
1000,-2.75
2000,-2.66
3000,-2.78
4000,-2.55
5000,-2.58
6000,-2.78
7000,-2.7
8000,-3.25
9000,-2.47
10000,-2.85
11000,-2.45
12000,-2.84
13000,-1.66
14000,-3.29
15000,-2.45
16000,-2.86
17000,-2.52
18000,-2.16
19000,-2.32
20000,-2.92
21000,-2.52
22000,-2.48
23000,-1.86
24000,-2.69
25000,-3.09
26000,-2.34
27000,-2.14
28000,-2.43
29000,-3.14
30000,-1.85
31000,-1.95
32000,-3.1
33000,-2.42
34000,-2.13
35000,-2.37
36000,-3.19
37000,-2.68
38000,-1.83
39000,-2.38
40000,-2.21
41000,-2.58
42000,-2.76
43000,-2.75
44000,-2.17
45000,-2.58
46000,-2.41
47000,-2.2
48000,-2.47
49000,-2.19
50000,-2.93
51000,-2.99
52000,-2.31
53000,-2.08
54000,-3.3
55000,-2.66
56000,-2.31
57000,-2.88
58000,-2.8
59000,-1.87
60000,-2.45
61000,-2.49
62000,-2.87
63000,-1.93
64000,-1.91
65000,-2.9
66000,-3.1
67000,-2.54
68000,-2.92
69000,-2.64
70000,-2.87
71000,-3.14
72000,-1.68
73000,-1.83
74000,-2.12
75000,-2.14
76000,-2.26
77000,-2.21
78000,-2.12
79000,-1.97
80000,-2.35
81000,-2.72
82000,-2.2
83000,-3.37
84000,-2.51
85000,-2.42
86000,-2.59
87000,-1.91
88000,-2.32
89000,-3.3
90000,-2.87
91000,-2.53
92000,-3.35
93000,-2.32
94000,-2.56
95000,-2.5
96000,-2.83
97000,-1.95
98000,-2.45
99000,-2.8
100000,-2.21
101000,-2.66
102000,-3.06
103000,-2.71
104000,-1.92
105000,-2.93
106000,-2.66
107000,-2.95
108000,-2.75
109000,-1.89
110000,-2.69
111000,-2.39
112000,-2.89
113000,-2.19
114000,-2.11
115000,-2.32
116000,-2.84
117000,-2.7
118000,-2.86
119000,-2.73
120000,-1.98
121000,-2.49
122000,-2.33
123000,-2.26
124000,-2.85
125000,-2.23
126000,-2.57
127000,-2.98
128000,-2.23
129000,-2.82
130000,-2.35
131000,-2.44
132000,-2.52
133000,-2.21
134000,-2.46
135000,-2.54
136000,-2.72
137000,-2.3
138000,-3.02
139000,-2.39
140000,-2.3
141000,-2.3
142000,-2.73
143000,-2.37
144000,-1.88
145000,-2.37
146000,-2.86
147000,-2.3
148000,-2.63
149000,-2.84
150000,-2.75
151000,-3.2
152000,-2.33
153000,-2.86
154000,-2.39
155000,-2.35
156000,-2.47
157000,-2.98
158000,-2.59
159000,-2.9
160000,-2.63
161000,-2.52
162000,-2.97
163000,-2.93
164000,-2.39
165000,-2.16
166000,-2.33
167000,-2.69
168000,-3.14
169000,-2.7
170000,-2.53
171000,-2.51
172000,-2.46
173000,-2.19
174000,-2.41
175000,-2.1
176000,-3.1
177000,-2.71
178000,-2.59
179000,-2.74
180000,-2.6
181000,-2.44
182000,-2.93
183000,-2.32
184000,-2.51
185000,-3.1
186000,-2.62
187000,-2.87
188000,-3.14
189000,-2.71
190000,-2.49
191000,-2.33
192000,-2.6
193000,-2.45
194000,-3.4
195000,-3.09
196000,-2.63
197000,-2.97
198000,-2.79
199000,-2.31
