timestep,win rate
52,0.5185
52052,0.461
104052,0.4835
156052,0.475
208052,0.4555
260052,0.4765
312052,0.4755
364052,0.498
416052,0.4995
468052,0.52
520052,0.491
572052,0.482
624052,0.4835
676052,0.457
728052,0.492
780052,0.4805
832052,0.4845
884052,0.4985
936052,0.5135
988052,0.4875
1040052,0.504
1092052,0.4825
1144052,0.51
1196052,0.492
1248052,0.4855
1300052,0.5075
1352052,0.498
1404052,0.471
1456052,0.5015
1508052,0.504
1560052,0.519
1612052,0.4905
1664052,0.4985
1716052,0.5
1768052,0.495
1820052,0.4855
1872052,0.489
1924052,0.4685
1976052,0.5145
2028052,0.4865
2080052,0.531
2132052,0.496
2184052,0.506
2236052,0.495
2288052,0.4775
2340052,0.495
2392052,0.5
2444052,0.486
2496052,0.4785
2548052,0.4955
2600052,0.4665
2652052,0.4875
2704052,0.5045
2756052,0.498
2808052,0.51
2860052,0.508
2912052,0.4915
2964052,0.5295
3016052,0.5215
3068052,0.502
3120052,0.522
3172052,0.5165
3224052,0.484
3276052,0.5115
3328052,0.4785
3380052,0.493
3432052,0.4925
3484052,0.5125
3536052,0.515
3588052,0.51
3640052,0.4795
3692052,0.5
3744052,0.5035
3796052,0.5255
3848052,0.4935
3900052,0.5055
3952052,0.5225
4004052,0.525
4056052,0.488
4108052,0.51
4160052,0.494
4212052,0.495
4264052,0.5265
4316052,0.528
4368052,0.539
4420052,0.4845
4472052,0.502
4524052,0.497
4576052,0.4865
4628052,0.517
4680052,0.491
4732052,0.515
4784052,0.5155
4836052,0.5235
4888052,0.5035
4940052,0.5265
4992052,0.483
5044052,0.5165
5096052,0.501
5148052,0.477
5200052,0.5085
5252052,0.505
5304052,0.5075
5356052,0.531
5408052,0.5135
5460052,0.5055
5512052,0.5085
5564052,0.502
5616052,0.496
5668052,0.5145
5720052,0.452
5772052,0.5185
5824052,0.5155
5876052,0.5055
5928052,0.4795
5980052,0.489
6032052,0.508
6084052,0.501
6136052,0.5265
6188052,0.5185
6240052,0.5225
6292052,0.492
6344052,0.484
6396052,0.4995
6448052,0.461
6500052,0.504
6552052,0.48
6604052,0.4815
6656052,0.5245
6708052,0.496
6760052,0.5005
6812052,0.466
6864052,0.5025
6916052,0.5075
6968052,0.5025
7020052,0.5075
7072052,0.5195
7124052,0.5345
7176052,0.528
7228052,0.4855
7280052,0.495
7332052,0.493
7384052,0.487
7436052,0.519
7488052,0.5075
7540052,0.5
7592052,0.547
7644052,0.503
7696052,0.5285
7748052,0.492
7800052,0.4845
7852052,0.5155
7904052,0.4825
7956052,0.524
8008052,0.5125
8060052,0.5005
8112052,0.491
8164052,0.518
8216052,0.516
8268052,0.518
8320052,0.5145
8372052,0.504
8424052,0.5185
8476052,0.5345
8528052,0.501
8580052,0.523
8632052,0.4765
8684052,0.5105
8736052,0.4915
8788052,0.5075
8840052,0.502
8892052,0.5135
8944052,0.5315
8996052,0.518
9048052,0.508
9100052,0.5385
9152052,0.519
9204052,0.5275
9256052,0.4695
9308052,0.4885
9360052,0.4815
9412052,0.501
9464052,0.508
9516052,0.5
9568052,0.5225
9620052,0.5125
9672052,0.5235
9724052,0.522
9776052,0.522
9828052,0.529
9880052,0.51
9932052,0.506
9984052,0.513
10036052,0.5405
10088052,0.521
10140052,0.527
10192052,0.489
10244052,0.519
10296052,0.5015
10348052,0.5145
10400052,0.5095
10452052,0.5165
10504052,0.5075
10556052,0.5495
10608052,0.5325
10660052,0.5235
10712052,0.5275
10764052,0.512
10816052,0.508
10868052,0.5215
10920052,0.528
10972052,0.5395
11024052,0.5265
11076052,0.544
11128052,0.518
11180052,0.53
11232052,0.507
11284052,0.518
11336052,0.501
11388052,0.5085
11440052,0.526
11492052,0.5295
11544052,0.53
11596052,0.492
11648052,0.5305
11700052,0.5095
11752052,0.521
11804052,0.5065
11856052,0.489
11908052,0.4925
11960052,0.497
12012052,0.519
12064052,0.495
12116052,0.5125
12168052,0.501
12220052,0.517
12272052,0.5305
12324052,0.4825
12376052,0.5285
12428052,0.4955
12480052,0.504
12532052,0.5095
12584052,0.5135
12636052,0.532
12688052,0.522
12740052,0.4945
12792052,0.512
12844052,0.4885
12896052,0.5055
12948052,0.4925
13000052,0.5245
13052052,0.516
13104052,0.532
13156052,0.513
13208052,0.4955
13260052,0.5195
13312052,0.4965
13364052,0.5035
13416052,0.5175
13468052,0.5375
13520052,0.518
13572052,0.5055
13624052,0.555
13676052,0.5175
13728052,0.502
13780052,0.5335
13832052,0.5315
13884052,0.5255
13936052,0.5335
13988052,0.516
14040052,0.5365
14092052,0.52
14144052,0.528
14196052,0.5315
14248052,0.506
14300052,0.5325
14352052,0.523
14404052,0.495
14456052,0.497
14508052,0.508
14560052,0.4885
14612052,0.5125
14664052,0.511
14716052,0.509
14768052,0.5125
14820052,0.5195
14872052,0.517
14924052,0.486
14976052,0.496
