timestep,reward
52,-0.094
5252,0.042
10452,0.028
15652,0.01
20852,-0.048
26052,-0.04
31252,0.012
36452,-0.052
41652,-0.102
46852,-0.04
52052,0.264
57252,0.128
62452,-0.368
67652,-0.196
72852,0.256
78052,-0.346
83252,-0.286
88452,-0.08
93652,-0.174
98852,0.23
104052,0.262
109252,-0.2
114452,-0.266
119652,-0.186
124852,0.0
130052,0.174
135252,-0.17
140452,0.476
145652,-0.212
150852,-0.008
156052,0.112
161252,0.256
166452,0.126
171652,-0.442
176852,-0.01
182052,-0.268
187252,0.184
192452,0.326
197652,-0.278
202852,-0.126
208052,0.074
213252,0.022
218452,-0.236
223652,-0.242
228852,-0.226
234052,0.022
239252,0.102
244452,-0.122
249652,-0.326
254852,-0.186
260052,-0.092
265252,0.028
270452,0.08
275652,-0.028
280852,0.128
286052,-0.018
291252,-0.072
296452,-0.44
301652,0.096
306852,0.36
312052,0.134
317252,-0.37
322452,-0.134
327652,-0.264
332852,0.098
338052,0.126
343252,-0.196
348452,0.156
353652,0.098
358852,-0.414
364052,-0.136
369252,-0.256
374452,-0.016
379652,-0.164
384852,-0.4
390052,-0.382
395252,-0.006
400452,0.274
405652,-0.13
410852,-0.356
416052,-0.27
421252,0.034
426452,-0.42
431652,0.194
436852,-0.1
442052,-0.146
447252,0.092
452452,-0.284
457652,-0.178
462852,-0.21
468052,0.386
473252,0.002
478452,-0.146
483652,0.274
488852,-0.226
494052,-0.15
499252,-0.102
504452,-0.022
509652,-0.294
514852,-0.42
520052,-0.184
525252,-0.186
530452,0.128
535652,0.092
540852,0.078
546052,0.124
551252,0.09
556452,0.19
561652,0.296
566852,-0.038
572052,0.544
577252,0.042
582452,-0.448
587652,0.152
592852,-0.018
598052,-0.276
603252,0.064
608452,-0.216
613652,-0.014
618852,-0.06
624052,0.22
629252,-0.008
634452,0.192
639652,0.078
644852,-0.32
650052,0.216
655252,-0.504
660452,-0.072
665652,-0.202
670852,0.152
676052,-0.084
681252,0.16
686452,-0.308
691652,-0.204
696852,-0.074
702052,0.61
707252,0.018
712452,-0.142
717652,-0.21
722852,-0.17
728052,0.172
733252,-0.426
738452,-0.182
743652,-0.136
748852,0.084
754052,0.188
759252,-0.09
764452,0.514
769652,0.166
774852,-0.11
780052,0.262
785252,-0.012
790452,0.358
795652,-0.036
800852,0.132
806052,-0.032
811252,0.212
816452,-0.028
821652,0.056
826852,-0.504
832052,0.082
837252,-0.154
842452,0.276
847652,-0.39
852852,0.102
858052,-0.116
863252,0.192
868452,0.02
873652,0.154
878852,0.144
884052,-0.13
889252,-0.418
894452,0.296
899652,-0.01
904852,0.296
910052,0.15
915252,-0.232
920452,-0.24
925652,0.172
930852,0.3
936052,-0.024
941252,-0.4
946452,0.36
951652,0.026
956852,0.032
962052,0.412
967252,0.034
972452,-0.274
977652,-0.42
982852,-0.106
988052,0.486
993252,-0.116
998452,0.106
1003652,-0.608
1008852,-0.028
1014052,-0.53
1019252,-0.036
1024452,0.218
1029652,-0.146
1034852,-0.476
1040052,0.36
1045252,0.056
1050452,-0.25
1055652,-0.046
1060852,-0.128
1066052,-0.026
1071252,0.304
1076452,-0.438
1081652,-0.48
1086852,-0.258
1092052,-0.316
1097252,0.11
1102452,-0.268
1107652,-0.154
1112852,-0.11
1118052,0.08
1123252,-0.302
1128452,-0.552
1133652,-0.166
1138852,-0.152
1144052,0.192
1149252,-0.184
1154452,-0.104
1159652,-0.394
1164852,0.102
1170052,0.256
1175252,-0.154
1180452,0.35
1185652,0.048
1190852,0.184
1196052,-0.034
1201252,0.088
1206452,0.214
1211652,0.046
1216852,0.092
1222052,0.01
1227252,-0.246
1232452,0.064
1237652,-0.222
1242852,-0.004
1248052,0.222
1253252,-0.188
1258452,-0.36
1263652,0.226
1268852,0.038
1274052,0.078
1279252,-0.15
1284452,0.064
1289652,-0.324
1294852,-0.278
1300052,-0.066
1305252,-0.036
1310452,-0.214
1315652,0.304
1320852,-0.204
1326052,-0.02
1331252,0.132
1336452,-0.214
1341652,-0.252
1346852,-0.018
1352052,-0.074
1357252,0.08
1362452,-0.018
1367652,0.206
1372852,-0.232
1378052,-0.132
1383252,0.166
1388452,0.008
1393652,-0.514
1398852,-0.228
1404052,-0.052
1409252,-0.288
1414452,-0.21
1419652,0.096
1424852,0.008
1430052,-0.108
1435252,0.078
1440452,0.064
1445652,0.106
1450852,-0.226
1456052,-0.262
1461252,-0.148
1466452,-0.192
1471652,-0.24
1476852,-0.064
1482052,-0.328
1487252,0.042
1492452,-0.152
1497652,0.012
1502852,-0.234
1508052,-0.402
1513252,-0.186
1518452,-0.358
1523652,-0.228
1528852,0.042
1534052,0.062
1539252,-0.256
1544452,-0.022
1549652,0.042
1554852,-0.31
1560052,0.12
1565252,-0.15
1570452,-0.078
1575652,-0.102
1580852,-0.014
1586052,-0.166
1591252,-0.288
1596452,0.01
1601652,-0.538
1606852,-0.13
1612052,-0.22
1617252,0.002
1622452,-0.304
1627652,-0.064
1632852,0.028
1638052,-0.144
1643252,-0.29
1648452,-0.172
1653652,-0.222
1658852,-0.114
1664052,0.144
1669252,-0.196
1674452,-0.068
1679652,0.144
1684852,-0.262
1690052,-0.116
1695252,-0.23
1700452,0.202
1705652,-0.15
1710852,-0.24
1716052,0.064
1721252,-0.068
1726452,-0.09
1731652,-0.068
1736852,0.146
1742052,-0.156
1747252,-0.04
1752452,-0.254
1757652,0.14
1762852,0.14
1768052,-0.108
1773252,-0.044
1778452,-0.182
1783652,-0.142
1788852,-0.056
1794052,0.038
1799252,-0.012
1804452,0.194
1809652,-0.064
1814852,0.032
1820052,-0.174
1825252,0.214
1830452,-0.178
1835652,-0.282
1840852,-0.052
1846052,-0.202
1851252,-0.082
1856452,0.13
1861652,-0.008
1866852,-0.208
1872052,-0.274
1877252,-0.108
1882452,-0.096
1887652,-0.084
1892852,-0.102
1898052,0.08
1903252,-0.146
1908452,-0.038
1913652,-0.356
1918852,-0.188
1924052,-0.072
1929252,-0.116
1934452,0.004
1939652,-0.158
1944852,0.23
1950052,-0.048
1955252,0.044
1960452,0.004
1965652,-0.024
1970852,-0.07
1976052,0.036
1981252,-0.184
1986452,-0.026
1991652,-0.044
1996852,-0.012
2002052,0.142
2007252,-0.186
2012452,-0.104
2017652,-0.03
2022852,-0.19
2028052,0.034
2033252,0.054
2038452,-0.122
2043652,0.07
2048852,0.242
2054052,0.064
2059252,0.088
2064452,0.094
2069652,0.134
2074852,0.014
2080052,-0.268
2085252,-0.238
2090452,-0.054
2095652,-0.152
2100852,-0.24
2106052,-0.276
2111252,0.126
2116452,-0.186
2121652,-0.072
2126852,-0.432
2132052,-0.158
2137252,-0.334
2142452,0.088
2147652,-0.244
2152852,0.104
2158052,-0.018
2163252,-0.22
2168452,0.058
2173652,-0.05
2178852,-0.266
2184052,-0.324
2189252,-0.13
2194452,-0.096
2199652,-0.104
2204852,-0.348
2210052,-0.066
2215252,-0.402
2220452,0.06
2225652,0.028
2230852,-0.174
2236052,-0.208
2241252,-0.102
2246452,-0.246
2251652,-0.242
2256852,-0.102
2262052,0.018
2267252,-0.048
2272452,-0.116
2277652,-0.264
2282852,-0.004
2288052,-0.18
2293252,-0.248
2298452,-0.2
2303652,-0.362
2308852,-0.404
2314052,-0.08
2319252,-0.12
2324452,-0.282
2329652,-0.116
2334852,0.054
2340052,-0.286
2345252,-0.2
2350452,-0.25
2355652,-0.036
2360852,-0.044
2366052,-0.408
2371252,0.092
2376452,-0.18
2381652,-0.252
2386852,0.01
2392052,-0.174
2397252,-0.062
2402452,-0.156
2407652,-0.194
2412852,-0.24
2418052,-0.092
2423252,-0.304
2428452,-0.038
2433652,-0.242
2438852,-0.18
2444052,-0.106
2449252,-0.112
2454452,-0.33
2459652,-0.05
2464852,0.11
2470052,-0.434
2475252,-0.12
2480452,-0.258
2485652,-0.276
2490852,0.014
2496052,-0.106
2501252,-0.196
2506452,-0.332
2511652,-0.176
2516852,-0.178
2522052,-0.434
2527252,-0.21
2532452,-0.06
2537652,-0.228
2542852,-0.184
2548052,-0.086
2553252,-0.26
2558452,-0.178
2563652,-0.174
2568852,-0.148
2574052,-0.238
2579252,0.158
2584452,-0.248
2589652,-0.368
2594852,-0.198
2600052,0.032
2605252,-0.34
2610452,0.18
2615652,-0.166
2620852,-0.362
2626052,0.23
2631252,-0.082
2636452,-0.068
2641652,-0.22
2646852,-0.352
2652052,-0.25
2657252,-0.308
2662452,-0.062
2667652,-0.402
2672852,-0.206
2678052,-0.142
2683252,-0.326
2688452,-0.078
2693652,-0.252
2698852,-0.332
2704052,-0.048
2709252,-0.136
2714452,-0.034
2719652,-0.19
2724852,0.032
2730052,-0.09
2735252,-0.116
2740452,-0.274
2745652,-0.42
2750852,-0.162
2756052,-0.1
2761252,-0.222
2766452,-0.206
2771652,-0.322
2776852,-0.324
2782052,-0.202
2787252,-0.086
2792452,-0.046
2797652,-0.152
2802852,-0.004
2808052,0.018
2813252,-0.178
2818452,-0.03
2823652,-0.27
2828852,-0.214
2834052,-0.164
2839252,-0.166
2844452,0.114
2849652,-0.434
2854852,-0.356
2860052,-0.482
2865252,-0.288
2870452,-0.352
2875652,-0.222
2880852,-0.1
2886052,-0.096
2891252,-0.296
2896452,-0.46
2901652,-0.3
2906852,-0.088
2912052,-0.344
2917252,-0.268
2922452,-0.334
2927652,-0.296
2932852,-0.398
2938052,-0.344
2943252,-0.386
2948452,-0.238
2953652,-0.396
2958852,-0.388
2964052,-0.304
2969252,-0.422
2974452,-0.528
2979652,-0.292
2984852,-0.344
2990052,-0.538
2995252,-0.242
3000452,-0.76
3005652,-0.48
3010852,-0.296
3016052,-0.496
3021252,-0.436
3026452,-0.304
3031652,-0.564
3036852,-0.244
3042052,-0.108
3047252,-0.702
3052452,-0.322
3057652,-0.356
3062852,-0.256
3068052,-0.736
3073252,-0.362
3078452,-0.5
3083652,-0.348
3088852,-0.542
3094052,-0.324
3099252,-0.406
3104452,-0.508
3109652,-0.388
3114852,-0.508
3120052,-0.49
3125252,-0.15
3130452,-0.426
3135652,-0.222
3140852,-0.282
3146052,-0.32
3151252,-0.256
3156452,-0.178
3161652,-0.338
3166852,-0.256
3172052,-0.276
3177252,-0.084
3182452,-0.164
3187652,-0.378
3192852,-0.246
3198052,-0.15
3203252,-0.386
3208452,-0.392
3213652,-0.298
3218852,-0.168
3224052,-0.28
3229252,-0.31
3234452,-0.37
3239652,-0.162
3244852,-0.13
3250052,-0.374
3255252,-0.312
3260452,0.128
3265652,-0.336
3270852,-0.266
3276052,-0.122
3281252,-0.292
3286452,-0.156
3291652,-0.38
3296852,-0.152
3302052,-0.3
3307252,-0.26
3312452,-0.208
3317652,-0.258
3322852,-0.062
3328052,0.018
3333252,-0.14
3338452,-0.02
3343652,-0.112
3348852,-0.148
3354052,-0.26
3359252,0.102
3364452,0.012
3369652,-0.014
3374852,0.16
3380052,0.004
3385252,0.032
3390452,-0.106
3395652,-0.046
3400852,-0.14
3406052,0.182
3411252,-0.248
3416452,0.084
3421652,0.116
3426852,0.146
3432052,-0.074
3437252,-0.142
3442452,0.02
3447652,-0.136
3452852,-0.276
3458052,0.216
3463252,-0.058
3468452,-0.186
3473652,-0.302
3478852,0.002
3484052,0.04
3489252,-0.182
3494452,-0.218
3499652,0.01
3504852,0.022
3510052,0.024
3515252,-0.058
3520452,-0.146
3525652,-0.248
3530852,-0.172
3536052,-0.066
3541252,-0.122
3546452,-0.274
3551652,-0.112
3556852,-0.462
3562052,-0.328
3567252,-0.198
3572452,-0.256
3577652,-0.254
3582852,-0.228
3588052,-0.036
3593252,-0.28
3598452,-0.156
3603652,-0.024
3608852,0.13
3614052,-0.102
3619252,-0.236
3624452,-0.112
3629652,-0.272
3634852,0.112
3640052,-0.332
3645252,-0.07
3650452,-0.258
3655652,-0.028
3660852,-0.182
3666052,-0.064
3671252,-0.084
3676452,-0.002
3681652,-0.132
3686852,-0.098
3692052,-0.212
3697252,0.046
3702452,-0.028
3707652,-0.092
3712852,-0.196
3718052,-0.238
3723252,-0.2
3728452,-0.146
3733652,-0.116
3738852,-0.436
3744052,-0.324
3749252,-0.19
3754452,-0.008
3759652,-0.19
3764852,-0.274
3770052,-0.412
3775252,-0.152
3780452,-0.558
3785652,-0.052
3790852,-0.268
3796052,-0.138
3801252,-0.464
3806452,0.032
3811652,-0.164
3816852,0.06
3822052,0.028
3827252,0.118
3832452,0.036
3837652,-0.134
3842852,-0.238
3848052,-0.234
3853252,-0.134
3858452,0.138
3863652,-0.122
3868852,-0.218
3874052,0.004
3879252,-0.098
3884452,-0.048
3889652,-0.212
3894852,-0.278
3900052,0.096
3905252,-0.188
3910452,-0.006
3915652,-0.1
3920852,-0.228
3926052,0.19
3931252,0.0
3936452,0.108
3941652,0.136
3946852,-0.12
3952052,-0.054
3957252,0.102
3962452,-0.122
3967652,-0.044
3972852,0.264
3978052,0.204
3983252,0.074
3988452,0.146
3993652,-0.058
3998852,-0.174
4004052,0.146
4009252,0.09
4014452,0.052
4019652,-0.19
4024852,-0.082
4030052,-0.154
4035252,0.094
4040452,0.114
4045652,-0.142
4050852,-0.052
4056052,0.072
4061252,-0.056
4066452,0.018
4071652,0.016
4076852,-0.064
4082052,-0.022
4087252,0.0
4092452,0.12
4097652,-0.09
4102852,0.04
4108052,-0.15
4113252,-0.2
4118452,0.05
4123652,-0.1
4128852,-0.156
4134052,0.012
4139252,0.074
4144452,0.102
4149652,0.562
4154852,0.066
4160052,0.056
4165252,-0.176
4170452,0.262
4175652,0.04
4180852,0.216
4186052,-0.056
4191252,0.176
4196452,0.078
4201652,0.178
4206852,0.132
4212052,0.13
4217252,0.158
4222452,-0.078
4227652,0.046
4232852,0.052
4238052,0.19
4243252,0.0
4248452,-0.076
4253652,-0.05
4258852,-0.072
4264052,0.198
4269252,-0.196
4274452,0.158
4279652,0.33
4284852,0.034
4290052,0.174
4295252,0.108
4300452,0.086
4305652,0.016
4310852,0.326
4316052,-0.066
4321252,0.208
4326452,-0.036
4331652,0.17
4336852,0.024
4342052,0.13
4347252,0.06
4352452,0.038
4357652,0.09
4362852,0.074
4368052,0.126
4373252,0.18
4378452,-0.032
4383652,0.102
4388852,0.114
4394052,0.032
4399252,-0.036
4404452,0.064
4409652,0.062
4414852,0.068
4420052,0.1
4425252,0.5
4430452,0.102
4435652,0.218
4440852,0.048
4446052,0.074
4451252,0.0
4456452,0.322
4461652,0.06
4466852,0.206
4472052,0.316
4477252,0.256
4482452,0.078
4487652,0.448
4492852,0.004
4498052,0.204
4503252,0.132
4508452,0.078
4513652,0.226
4518852,-0.068
4524052,0.014
4529252,0.028
4534452,0.242
4539652,0.186
4544852,-0.084
4550052,-0.06
4555252,0.218
4560452,0.228
4565652,0.202
4570852,0.02
4576052,0.218
4581252,0.092
