timestep,reward
52,-0.1
5252,-0.002
10452,-0.006
15652,0.0
20852,0.022
26052,-0.188
31252,0.106
36452,0.212
41652,-0.136
46852,-0.112
52052,-0.11
57252,0.104
62452,-0.15
67652,-0.074
72852,-0.204
78052,0.106
83252,-0.172
88452,0.126
93652,-0.072
98852,-0.096
104052,0.012
109252,0.002
114452,-0.094
119652,0.104
124852,-0.122
130052,-0.044
135252,0.148
140452,-0.066
145652,0.018
150852,0.042
156052,-0.034
161252,0.176
166452,-0.204
171652,-0.078
176852,0.08
182052,0.02
187252,-0.052
192452,0.016
197652,-0.048
202852,0.0
208052,-0.128
213252,0.072
218452,-0.058
223652,0.09
228852,0.072
234052,-0.02
239252,-0.196
244452,-0.024
249652,0.0
254852,-0.028
260052,-0.038
265252,0.004
270452,0.092
275652,-0.048
280852,-0.062
286052,-0.002
291252,0.034
296452,-0.128
301652,-0.048
306852,-0.094
312052,0.146
317252,-0.142
322452,-0.142
327652,-0.034
332852,0.042
338052,-0.162
343252,-0.218
348452,0.156
353652,-0.098
358852,-0.12
364052,-0.108
369252,-0.234
374452,-0.102
379652,-0.048
384852,0.08
390052,-0.198
395252,0.032
400452,-0.048
405652,0.014
410852,0.144
416052,0.028
421252,0.048
426452,-0.206
431652,0.12
436852,-0.052
442052,-0.092
447252,0.242
452452,0.09
457652,-0.3
462852,-0.166
468052,-0.226
473252,0.13
478452,0.108
483652,0.114
488852,-0.058
494052,-0.002
499252,0.074
504452,-0.182
509652,-0.076
514852,-0.09
520052,-0.004
525252,-0.294
530452,-0.054
535652,-0.06
540852,0.004
546052,0.098
551252,-0.184
556452,-0.22
561652,-0.272
566852,0.07
572052,0.168
577252,0.034
582452,-0.124
587652,0.038
592852,0.174
598052,0.174
603252,-0.032
608452,-0.252
613652,0.15
618852,-0.186
624052,0.374
629252,-0.2
634452,0.1
639652,0.1
644852,-0.02
650052,0.378
655252,-0.07
660452,0.106
665652,0.22
670852,0.152
676052,0.204
681252,0.038
686452,-0.078
691652,-0.044
696852,0.14
702052,0.106
707252,-0.14
712452,-0.092
717652,0.018
722852,-0.056
728052,-0.102
733252,-0.056
738452,-0.038
743652,0.158
748852,0.13
754052,0.182
759252,-0.008
764452,0.132
769652,-0.202
774852,-0.026
780052,0.324
785252,-0.054
790452,-0.156
795652,0.096
800852,0.022
806052,-0.038
811252,0.038
816452,0.08
821652,-0.014
826852,0.112
832052,-0.11
837252,0.162
842452,0.106
847652,0.002
852852,0.02
858052,0.244
863252,-0.038
868452,0.254
873652,-0.01
878852,0.266
884052,0.112
889252,-0.044
894452,0.352
899652,0.154
904852,0.088
910052,0.064
915252,0.208
920452,0.374
925652,0.06
930852,-0.146
936052,0.074
941252,0.29
946452,-0.134
951652,0.196
956852,0.126
962052,0.192
967252,0.156
972452,-0.064
977652,0.12
982852,0.34
988052,0.03
993252,-0.01
998452,0.326
1003652,-0.006
1008852,0.056
1014052,0.178
1019252,-0.084
1024452,0.134
1029652,0.304
1034852,-0.104
