timestep,reward
52,-0.394
5252,-0.406
10452,-0.43
15652,-0.378
20852,-0.35
26052,-0.348
31252,-0.364
36452,-0.37
41652,-0.424
46852,-0.402
52052,-0.372
57252,-0.42
62452,-0.418
67652,-0.366
72852,-0.37
78052,-0.388
83252,-0.414
88452,-0.38
93652,-0.374
98852,-0.386
104052,-0.394
109252,-0.376
114452,-0.366
119652,-0.392
124852,-0.418
130052,-0.41
135252,-0.364
140452,-0.362
145652,-0.43
150852,-0.424
156052,-0.396
161252,-0.392
166452,-0.39
171652,-0.404
176852,-0.378
182052,-0.398
187252,-0.368
192452,-0.426
197652,-0.406
202852,-0.388
208052,-0.32
213252,-0.42
218452,-0.396
223652,-0.394
228852,-0.35
234052,-0.368
239252,-0.422
244452,-0.416
249652,-0.404
254852,-0.378
260052,-0.426
265252,-0.41
270452,-0.382
275652,-0.38
280852,-0.41
286052,-0.392
291252,-0.414
296452,-0.418
301652,-0.378
306852,-0.376
312052,-0.424
317252,-0.42
322452,-0.394
327652,-0.418
332852,-0.416
338052,-0.394
343252,-0.442
348452,-0.39
353652,-0.382
358852,-0.422
364052,-0.446
369252,-0.372
374452,-0.422
379652,-0.39
384852,-0.444
390052,-0.392
395252,-0.36
400452,-0.4
405652,-0.388
410852,-0.372
416052,-0.394
421252,-0.41
426452,-0.352
431652,-0.382
436852,-0.412
442052,-0.416
447252,-0.304
452452,-0.376
457652,-0.446
462852,-0.374
468052,-0.438
473252,-0.398
478452,-0.35
483652,-0.356
488852,-0.36
494052,-0.412
499252,-0.41
504452,-0.38
509652,-0.368
514852,-0.372
